doctorId,name,specialty,DoctorContact,locationId,experience_years,available_hours,description,embedding_vector
116,Shell,Infectious disease,.@yopmail.com,1,30,8 AM - 6 PM,Experienced in Infectious disease,
752,Regina,Oncologist,.@yopmail.com,2,17,7 AM - 5 PM,Experienced in Oncologist,
957,Sissy,Otolaryngologists,.@yopmail.com,3,23,10 AM - 8 PM,Experienced in Otolaryngologists,
217,Celestyna,Cardiology,.@yopmail.com,4,30,8 AM - 6 PM,Experienced in Cardiology,
100,Thalia,Emergency Medicine,.@yopmail.com,5,4,8 AM - 6 PM,Experienced in Emergency Medicine,
708,Brynna,Surgery,.@yopmail.com,6,27,11 AM - 9 PM,Experienced in Surgery,
262,Maye,Pulmonologists,.@yopmail.com,7,20,11 AM - 9 PM,Experienced in Pulmonologists,
378,Concettina,Hospice and Palliative Care,.@yopmail.com,8,20,11 AM - 9 PM,Experienced in Hospice and Palliative Care,
910,Minda,Anesthesiology,.@yopmail.com,9,13,10 AM - 8 PM,Experienced in Anesthesiology,
740,Charissa,Nephrology,.@yopmail.com,10,22,8 AM - 6 PM,Experienced in Nephrology,
995,Lanae,Neurology,.@yopmail.com,11,20,7 AM - 5 PM,Experienced in Neurology,
907,Ida,Oncologist,.@yopmail.com,12,20,10 AM - 8 PM,Experienced in Oncologist,
688,Constance,Otolaryngologists,.@yopmail.com,13,6,9 AM - 7 PM,Experienced in Otolaryngologists,
117,Karena,Otolaryngologists,.@yopmail.com,14,15,7 AM - 5 PM,Experienced in Otolaryngologists,
602,Tabbatha,Anesthesiology,.@yopmail.com,15,28,8 AM - 6 PM,Experienced in Anesthesiology,
262,Lanna,Radiology,.@yopmail.com,16,15,7 AM - 5 PM,Experienced in Radiology,
811,Lucille,Dermatology,.@yopmail.com,17,18,9 AM - 7 PM,Experienced in Dermatology,
589,Calla,Dermatology,.@yopmail.com,18,15,9 AM - 7 PM,Experienced in Dermatology,
634,Jacenta,Radiology,.@yopmail.com,19,23,10 AM - 8 PM,Experienced in Radiology,
188,Shaine,Anesthesiology,.@yopmail.com,20,18,7 AM - 5 PM,Experienced in Anesthesiology,
349,Edee,Geriatrician,.@yopmail.com,21,24,10 AM - 8 PM,Experienced in Geriatrician,
555,Misha,Endocrinologist,.@yopmail.com,22,16,7 AM - 5 PM,Experienced in Endocrinologist,
715,Hope,Emergency Medicine,.@yopmail.com,23,1,7 AM - 5 PM,Experienced in Emergency Medicine,
885,Lilith,Allergists,.@yopmail.com,24,3,10 AM - 8 PM,Experienced in Allergists,
317,Corina,Pulmonologists,.@yopmail.com,25,4,8 AM - 6 PM,Experienced in Pulmonologists,
933,Ernesta,Psychiatry,.@yopmail.com,26,10,11 AM - 9 PM,Experienced in Psychiatry,
447,Asia,Internists,.@yopmail.com,27,26,9 AM - 7 PM,Experienced in Internists,
615,Sonni,Surgery,.@yopmail.com,28,11,10 AM - 8 PM,Experienced in Surgery,
250,Morganica,Pediatrics,.@yopmail.com,29,16,8 AM - 6 PM,Experienced in Pediatrics,
692,Nariko,Internists,.@yopmail.com,30,1,8 AM - 6 PM,Experienced in Internists,
303,Sherrie,Infectious disease,.@yopmail.com,31,23,11 AM - 9 PM,Experienced in Infectious disease,
339,Brandise,Internists,.@yopmail.com,32,20,10 AM - 8 PM,Experienced in Internists,
306,Georgina,Geriatrician,.@yopmail.com,33,20,8 AM - 6 PM,Experienced in Geriatrician,
837,Beatriz,Allergists,.@yopmail.com,34,9,10 AM - 8 PM,Experienced in Allergists,
416,Jere,Neurology,.@yopmail.com,35,16,9 AM - 7 PM,Experienced in Neurology,
438,Iseabal,Gastroenterology,.@yopmail.com,36,11,8 AM - 6 PM,Experienced in Gastroenterology,
889,Paola,Infectious disease,.@yopmail.com,37,20,11 AM - 9 PM,Experienced in Infectious disease,
955,Gretal,Emergency Medicine,.@yopmail.com,38,8,7 AM - 5 PM,Experienced in Emergency Medicine,
730,Luci,Emergency Medicine,.@yopmail.com,39,20,10 AM - 8 PM,Experienced in Emergency Medicine,
667,Gloria,Geriatrician,.@yopmail.com,40,10,9 AM - 7 PM,Experienced in Geriatrician,
276,Nelle,Endocrinologist,.@yopmail.com,41,22,11 AM - 9 PM,Experienced in Endocrinologist,
645,Asia,Otolaryngologists,.@yopmail.com,42,11,11 AM - 9 PM,Experienced in Otolaryngologists,
722,Catrina,Obstetric Anesthesiologists,.@yopmail.com,43,13,10 AM - 8 PM,Experienced in Obstetric Anesthesiologists,
716,Misha,Anesthesiology,.@yopmail.com,44,13,11 AM - 9 PM,Experienced in Anesthesiology,
911,Lorne,Neurology,.@yopmail.com,45,15,9 AM - 7 PM,Experienced in Neurology,
938,Hermione,Pulmonologists,.@yopmail.com,46,26,10 AM - 8 PM,Experienced in Pulmonologists,
117,Moyna,Surgery,.@yopmail.com,47,11,9 AM - 7 PM,Experienced in Surgery,
350,Estell,Otolaryngologists,.@yopmail.com,48,30,9 AM - 7 PM,Experienced in Otolaryngologists,
272,Nikki,Oncologist,.@yopmail.com,49,6,9 AM - 7 PM,Experienced in Oncologist,
770,Karly,Emergency Medicine,.@yopmail.com,50,25,10 AM - 8 PM,Experienced in Emergency Medicine,
491,Jinny,Infectious disease,.@yopmail.com,51,7,7 AM - 5 PM,Experienced in Infectious disease,
771,Karena,Internists,.@yopmail.com,52,2,9 AM - 7 PM,Experienced in Internists,
183,Shauna,Psychiatry,.@yopmail.com,53,5,9 AM - 7 PM,Experienced in Psychiatry,
165,Monika,Psychiatry,.@yopmail.com,54,15,8 AM - 6 PM,Experienced in Psychiatry,
492,Berta,Cardiology,.@yopmail.com,55,4,10 AM - 8 PM,Experienced in Cardiology,
527,Cristabel,Cardiology,.@yopmail.com,56,26,11 AM - 9 PM,Experienced in Cardiology,
359,Hollie,Anesthesiology,.@yopmail.com,57,4,9 AM - 7 PM,Experienced in Anesthesiology,
664,Flo,Geriatrician,.@yopmail.com,58,13,9 AM - 7 PM,Experienced in Geriatrician,
391,Annabela,Oncologist,.@yopmail.com,59,8,10 AM - 8 PM,Experienced in Oncologist,
434,Verla,Otolaryngologists,.@yopmail.com,60,24,11 AM - 9 PM,Experienced in Otolaryngologists,
875,Marjie,Endocrinologist,.@yopmail.com,61,3,8 AM - 6 PM,Experienced in Endocrinologist,
468,Tamqrah,Radiology,.@yopmail.com,62,3,9 AM - 7 PM,Experienced in Radiology,
734,Chrystel,Otolaryngologists,.@yopmail.com,63,4,7 AM - 5 PM,Experienced in Otolaryngologists,
373,Delilah,Ophthalmology,.@yopmail.com,64,21,8 AM - 6 PM,Experienced in Ophthalmology,
843,Leeanne,Pulmonologists,.@yopmail.com,65,26,9 AM - 7 PM,Experienced in Pulmonologists,
853,Elka,Hospice and Palliative Care,.@yopmail.com,66,30,7 AM - 5 PM,Experienced in Hospice and Palliative Care,
158,Chere,Nephrology,.@yopmail.com,67,25,11 AM - 9 PM,Experienced in Nephrology,
720,Jere,Neurology,.@yopmail.com,68,11,10 AM - 8 PM,Experienced in Neurology,
548,Karlee,Critical Care Medicine,.@yopmail.com,69,10,7 AM - 5 PM,Experienced in Critical Care Medicine,
423,Carree,Allergists,.@yopmail.com,70,3,7 AM - 5 PM,Experienced in Allergists,
432,Lorie,Critical Care Medicine,.@yopmail.com,71,14,11 AM - 9 PM,Experienced in Critical Care Medicine,
611,Shell,Gastroenterology,.@yopmail.com,72,11,11 AM - 9 PM,Experienced in Gastroenterology,
194,Phedra,Surgery,.@yopmail.com,73,8,9 AM - 7 PM,Experienced in Surgery,
892,Brynna,Cardiology,.@yopmail.com,74,18,7 AM - 5 PM,Experienced in Cardiology,
696,Alejandra,Endocrinologist,.@yopmail.com,75,7,9 AM - 7 PM,Experienced in Endocrinologist,
565,Dione,Psychiatry,.@yopmail.com,76,18,11 AM - 9 PM,Experienced in Psychiatry,
778,Brana,Dermatology,.@yopmail.com,77,27,10 AM - 8 PM,Experienced in Dermatology,
612,Krystle,Pediatrics,.@yopmail.com,78,30,11 AM - 9 PM,Experienced in Pediatrics,
894,Helsa,Emergency Medicine,.@yopmail.com,79,1,9 AM - 7 PM,Experienced in Emergency Medicine,
328,Atlanta,Infectious disease,.@yopmail.com,80,28,9 AM - 7 PM,Experienced in Infectious disease,
870,Johna,Obstetric Anesthesiologists,.@yopmail.com,81,30,9 AM - 7 PM,Experienced in Obstetric Anesthesiologists,
344,Aurore,Gastroenterology,.@yopmail.com,82,24,9 AM - 7 PM,Experienced in Gastroenterology,
705,Rosene,Obstetric Anesthesiologists,.@yopmail.com,83,12,8 AM - 6 PM,Experienced in Obstetric Anesthesiologists,
607,Jenilee,Internists,.@yopmail.com,84,8,8 AM - 6 PM,Experienced in Internists,
168,Mellicent,Otolaryngologists,.@yopmail.com,85,4,9 AM - 7 PM,Experienced in Otolaryngologists,
539,Hallie,Neurology,.@yopmail.com,86,15,10 AM - 8 PM,Experienced in Neurology,
892,Annabela,Oncologist,.@yopmail.com,87,25,9 AM - 7 PM,Experienced in Oncologist,
113,Shaylyn,Radiology,.@yopmail.com,88,26,7 AM - 5 PM,Experienced in Radiology,
947,Allis,Endocrinologist,.@yopmail.com,89,11,7 AM - 5 PM,Experienced in Endocrinologist,
707,Cassandra,Pulmonologists,.@yopmail.com,90,17,8 AM - 6 PM,Experienced in Pulmonologists,
757,Mariele,Neurology,.@yopmail.com,91,17,8 AM - 6 PM,Experienced in Neurology,
539,Jillayne,Allergists,.@yopmail.com,92,12,7 AM - 5 PM,Experienced in Allergists,
729,Louella,Cardiology,.@yopmail.com,93,28,8 AM - 6 PM,Experienced in Cardiology,
213,Sidoney,Hospice and Palliative Care,.@yopmail.com,94,9,11 AM - 9 PM,Experienced in Hospice and Palliative Care,
466,Ninnetta,Pediatrics,.@yopmail.com,95,6,10 AM - 8 PM,Experienced in Pediatrics,
856,Arabel,Oncologist,.@yopmail.com,96,16,8 AM - 6 PM,Experienced in Oncologist,
939,Melodie,Oncologist,.@yopmail.com,97,23,9 AM - 7 PM,Experienced in Oncologist,
288,Frank,Endocrinologist,.@yopmail.com,98,25,11 AM - 9 PM,Experienced in Endocrinologist,
227,Millie,Neurology,.@yopmail.com,99,21,7 AM - 5 PM,Experienced in Neurology,
270,Brooks,Allergists,.@yopmail.com,100,19,11 AM - 9 PM,Experienced in Allergists,
920,Nerta,Otolaryngologists,.@yopmail.com,101,6,10 AM - 8 PM,Experienced in Otolaryngologists,
332,Jinny,Neurology,.@yopmail.com,102,6,8 AM - 6 PM,Experienced in Neurology,
798,Vere,Allergists,.@yopmail.com,103,15,8 AM - 6 PM,Experienced in Allergists,
509,Hope,Pediatrics,.@yopmail.com,104,25,8 AM - 6 PM,Experienced in Pediatrics,
920,Barbi,Surgery,.@yopmail.com,105,10,7 AM - 5 PM,Experienced in Surgery,
940,Yolane,Ophthalmology,.@yopmail.com,106,21,8 AM - 6 PM,Experienced in Ophthalmology,
483,Kellen,Nephrology,.@yopmail.com,107,27,7 AM - 5 PM,Experienced in Nephrology,
258,Joeann,Cardiology,.@yopmail.com,108,23,10 AM - 8 PM,Experienced in Cardiology,
284,Ketti,Oncologist,.@yopmail.com,109,17,11 AM - 9 PM,Experienced in Oncologist,
537,Carmela,Anesthesiology,.@yopmail.com,110,13,8 AM - 6 PM,Experienced in Anesthesiology,
170,Quintina,Oncologist,.@yopmail.com,111,8,8 AM - 6 PM,Experienced in Oncologist,
156,Claudina,Infectious disease,.@yopmail.com,112,23,10 AM - 8 PM,Experienced in Infectious disease,
707,Sissy,Pediatrics,.@yopmail.com,113,19,9 AM - 7 PM,Experienced in Pediatrics,
