chatId,patientId,Title
1,919,Chat with Anallese Halla
2,535,Chat with Shel Dearborn
3,830,Chat with Mara Shuler
4,398,Chat with Dale Lewes
5,375,Chat with Sharlene Luhe
6,566,Chat with Rebeca Winnick
7,404,Chat with Merry Henebry
8,922,Chat with Orsola Torray
9,603,Chat with Dolli Anderea
10,939,Chat with Mellicent Shama
11,334,Chat with Kaia Taam
12,906,Chat with Viviene Autrey
13,147,Chat with Winny Arley
14,599,Chat with Kylynn Maryanne
15,650,Chat with Wendi Chem
16,489,Chat with Lory Wu
17,404,Chat with Marcy Vacuva
18,318,Chat with Tori Zeeba
19,388,Chat with Dennie Emmaline
20,935,Chat with Meriel Loring
21,969,Chat with Roseline Anton
22,147,Chat with Marinna Ortrude
23,825,Chat with Norine Elbertina
24,464,Chat with Lynnea Bennie
25,804,Chat with Madelle Camden
26,350,Chat with Neila Sprage
27,888,Chat with Reeba Romelda
28,452,Chat with Joleen Sophronia
29,926,Chat with Doro Tybald
30,952,Chat with Brena Cassius
31,192,Chat with Fidelia Buckler
32,297,Chat with Kore Genna
33,659,Chat with Chere Tice
34,653,Chat with Allis Edison
35,813,Chat with Tiffie Ochs
36,124,Chat with Netty Allina
37,213,Chat with Gale Pattin
38,850,Chat with Dari Agle
39,228,Chat with Leona Othilia
40,685,Chat with Nataline Sherrie
41,561,Chat with Selia Katrine
42,931,Chat with Keelia Olin
43,925,Chat with Kassey Amasa
44,205,Chat with Corry Neils
45,723,Chat with Alex Dituri
46,159,Chat with Jan Wyn
47,747,Chat with Lila Rhu
48,285,Chat with Monika Larochelle
49,772,Chat with Glynnis Yusuk
50,844,Chat with Sandie Saint
51,317,Chat with Sallie Alice
52,241,Chat with Lynnea Arquit
53,952,Chat with Hildegaard Maurine
54,782,Chat with Jerry Pattin
55,199,Chat with Melina Han
56,625,Chat with Donetta Sandye
57,700,Chat with Georgetta Dawkins
58,942,Chat with Ingrid McLaughlin
59,275,Chat with Alleen Cyrie
60,338,Chat with Laurene Garek
61,580,Chat with Stephanie Dash
62,623,Chat with Beatriz Matthew
63,697,Chat with Basia Sheedy
64,271,Chat with Dode Haymes
65,935,Chat with Adele Japeth
66,700,Chat with Goldie Sophronia
67,867,Chat with Doro Johnsson
68,397,Chat with Lorenza Gaynor
69,532,Chat with Karina Sisile
70,880,Chat with Rosaline Nicoline
71,568,Chat with Kary Telfer
72,111,Chat with Leontine Zachary
73,151,Chat with Linet Persse
